name,SMILES
ZINC000021893757,CSCc1ccc(C(=O)Nc2ccccn2)cc1
ZINC000044891086,COCc1nc2cc(NC(=O)c3cccc(F)c3)ccc2[nH]1
ZINC000336381087,CC1(C)CN(C(=O)c2cccc(=O)[nH]2)C[C@@H]1c3ccccc3
ZINC000072144259,CN(Cc1ccsc1)Cc2cc(-c3ccncc3)no2
ZINC000006863075,N#Cc1cccc(NC(=O)Nc2ccc(F)cc2)c1
ZINC000071853579,Cc1c(C(=O)N2CCCSCC2)oc3c(F)cccc13
ZINC000072152853,CCCc1ccc(CN2CC(c3ccccn3)C2)o1
ZINC000091809052,CC(C)=CCC[C@@]1(C)CCC(=O)N(CCn2ccnc2)C1
ZINC000060343568,CCN(Cc1ccccc1)C(=O)Nc2c(C)noc2C
ZINC000071853572,Cc1c(C(=O)N2CCCSCC2)oc3ccccc13
ZINC000091809055,CC(C)=CCC[C@]1(C)CCC(=O)N(CCn2ccnc2)C1
ZINC000037488390,Fc1cccc(CCNc2ncnc3ccccc23)c1
ZINC000007521947,Cc1cccc(NC(=S)NN2[C@@H](C)CCC[C@H]2C)c1
ZINC000534588649,COCC1(CNC(=O)[C@@H]2C(C)=C2c3ccccc3)CCCC1
ZINC000008339824,CCN1C(=S)N=N[C@H]1c2cc(Br)cs2
ZINC000534588645,COCC1(CNC(=O)[C@H]2C(C)=C2c3ccccc3)CCCC1
ZINC000007521949,Cc1cccc(NC(=S)NN2[C@H](C)CCC[C@H]2C)c1
ZINC000180551705,Cc1cc(=O)oc2cc(NCc3ccc(CO)cc3)ccc12
ZINC000078551930,Cc1cc(OCCCOc2ccc(F)cc2)nnc1C
ZINC000053314462,C[C@H](c1cccs1)N(C)C(=O)CCc2ccco2
ZINC000007824653,Cc1cc(C(=O)OCc2cc(C)on2)c3ccccc3n1
ZINC000008612015,O=C(Nc1noc2ccccc12)c3cccc(F)c3
ZINC000008610589,C[C@@H](NC(=O)C1=Cc2ccccc2OC1)c3ccccc3
ZINC000006881647,Cc1noc(C)c1CCC(=O)Nc2ccc3c(c2)CCC3
ZINC000008714420,CC(=O)c1ccc(NC(=O)CCn2nc(C)c(C)c2C)cc1
ZINC000008714421,Cc1ccc(NC(=O)CCn2nc(C)c(C)c2C)c(C)c1
ZINC000009060683,O=C(NCc1cccnc1)c2cc3cc(Cl)ccc3o2
ZINC000077458273,C[C@H](Cn1ccnc1-c2ccncc2)N(C)c3ccccc3
ZINC000071750963,CCCC[C@H]1CCCN1C(=O)c2cc(-c3ccncc3)n[nH]2
ZINC000071750962,CCCC[C@@H]1CCCN1C(=O)c2cc(-c3ccncc3)n[nH]2
ZINC000040548496,Cc1ccc(NC(=O)COCC(F)(F)F)c2cccnc12
ZINC000007525257,COCc1ccc(C(=O)Nc2ccc(F)c(F)c2)cc1
ZINC000044892213,O=C(NCc1ccco1)Nc2ccnn2C3CCCCC3
ZINC000006703430,COc1ccc(O[C@H](C)C(=O)N2CCc3ccccc32)cc1
ZINC000008683693,CCOC(=O)c1ccc(NC(=S)NC2CCCC2)cc1
ZINC000032752984,O=C(Nc1cccc2cccnc12)c3cccc4c[nH]nc34
ZINC000008610587,C[C@H](NC(=O)C1=Cc2ccccc2OC1)c3ccccc3
ZINC000008374707,C[C@@H](Nc1nc2sccn2c1[N+](=O)[O-])c3ccco3
ZINC000008374705,C[C@H](Nc1nc2sccn2c1[N+](=O)[O-])c3ccco3
ZINC000006703698,Cc1ccccc1C(=O)Nc2ccccc2C(=O)NC3CC3
ZINC000077132961,CC[C@@H](C)C(=O)N(C)c1cc(-c2ccc(OC)cc2)[nH]n1
ZINC000077132963,CC[C@H](C)C(=O)N(C)c1cc(-c2ccc(OC)cc2)[nH]n1
ZINC000072230360,C[C@@H]1CCC[C@H](NS(=O)(=O)CC2CCCCC2)[C@@H]1C
ZINC000072281625,COc1ccc(Cl)cc1C(=O)Nc2ccc(Cl)nn2
ZINC000020573472,O=c1cc(C[NH+]2CCCCC2)c3cc(Cl)c(O)cc3o1
ZINC000534641494,CCCOc1ccccc1[C@H](C)NC(=O)N2CCCC2
ZINC000534641493,CCCOc1ccccc1[C@@H](C)NC(=O)N2CCCC2
ZINC000040487890,Cc1cc(CN(C)[C@H](C)c2ccc(F)c(F)c2)on1
ZINC000044945255,Cc1nnc(CN(C)[C@@H](C)c2cc3ccccc3o2)n1C
ZINC000072295434,O=C(NCc1coc(-c2ccccc2)n1)c3ccsc3
ZINC000006741417,Cc1ccc(CNC(=O)Nc2ccc(F)cc2)cc1
ZINC000007926861,Cc1ccc(NC(=O)CN(C)Cc2ccsc2)cc1
ZINC000007926863,CN(CC(=O)Nc1ccc(F)c(F)c1)Cc2ccsc2
ZINC000181526790,O=C(Cc1c(F)cccc1Cl)NCC[C@H]2CCCCO2
ZINC000007666986,COc1cc(C(=O)Nc2ccc(C)cc2)cc3c1OCCO3
ZINC000044913246,NC(=O)c1cnn(-c2ccc(Cl)cc2Cl)c1C3CC3
ZINC000534589118,Cc1cnc(C)c(NCC2(COc3ccccc3)CC2)n1
ZINC000426739756,CC1(C)CN(C(=O)CCc2ccno2)C[C@H]1c3ccccc3
ZINC000078570197,C[C@H](Nc1ccccn1)c2cccc(-n3ccnc3)c2
ZINC000040496848,Cc1cc(CS(=O)(=O)[C@@H](C)c2ccccc2Cl)on1
ZINC000007985919,Cc1cnc(C(=O)Nc2ccc(-c3nccs3)cc2)cn1
ZINC000006729488,C[C@H]1C[C@H](C)CN(S(=O)(=O)c2ccccc2Cl)C1
ZINC000040493832,Cc1ccc2[nH]c(C(=O)Nc3c(C)nn(C)c3C)cc2c1
ZINC000072292529,Cc1ccc(NC(=O)N[C@](C)(CO)C2CCCCC2)cc1
ZINC000008539860,O=C(OCc1cc(F)cc2c1OCOC2)c3cccs3
ZINC000002041753,N=C1Cc2ccccc2-c3ccccc3[C@@H]1C(=O)O
ZINC000072119206,O=C1C[C@@H](c2ccccc2)c3c(n(C4CCCC4)[nH]c3=O)N1
ZINC000040510880,CC(=O)c1c[nH]c(C(=O)N[C@@H](C)c2ccc(Cl)s2)c1
ZINC000040510881,CC(=O)c1c[nH]c(C(=O)N[C@H](C)c2ccc(Cl)s2)c1
ZINC000091808016,Cc1cccn2c(Cc3ncnn3C4CCCCC4)cnc12
ZINC000006731070,CCOc1ccccc1NC(=O)NCc2ccco2
ZINC000020550129,CC(C)c1cc(C(=O)N[C@@H](C)[C@@H]2CCCO2)cs1
ZINC000071908371,CCOC(=O)[C@H](C)Nc1ccc2oc(C3CC3)nc2c1
ZINC000071908370,CCOC(=O)[C@@H](C)Nc1ccc2oc(C3CC3)nc2c1
ZINC000084671075,CC(C)=C[C@@H]1[C@@H](C(=O)Nc2c3c(nn2C)CCC3)C1(C)C
ZINC000084671074,CC(C)=C[C@H]1[C@H](C(=O)Nc2c3c(nn2C)CCC3)C1(C)C
ZINC000006699485,C[C@@H]1Cc2ccccc2N1C(=O)Nc3ccc4c(c3)OCO4
ZINC000006699486,C[C@H]1Cc2ccccc2N1C(=O)Nc3ccc4c(c3)OCO4
ZINC000040286799,COc1cccc(NC(=O)c2cc3occc3n2C)c1
ZINC000012359156,Nc1c(F)cc(Br)cc1C(F)(F)F
ZINC000007912868,Cn1cc(C(=O)Nc2ccc3c(c2)OCO3)c4ccccc41
ZINC000000383422,Cc1nnc(Cl)c2nn(-c3ccccc3)c(C)c12
ZINC000072143525,O=C(N1CC(c2ccncc2)C1)C34C[C@H]5C[C@@H](C3)C[C@@H](C4)C5
ZINC000008369658,Cc1ccc(NC(=O)Nc2ccc(C(N)=O)cc2)c(C)c1
ZINC000001076018,Cc1nn(-c2ccc([N+](=O)[O-])cc2)c(N)c1-c3ccccc3
ZINC000009040847,Cc1nc(CSCCC(=O)N2CCC(C)CC2)cs1
ZINC000009040844,Cc1nc(CSCCC(=O)N2CCCCCC2)cs1
